Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
20,54,990003,00:16:30.3,
20,54,995003,00:16:35.3,
20,54,1000003,00:16:40.3,
20,54,1005003,00:16:45.3,
20,54,1010003,00:16:50.3,
20,54,1015003,00:16:55.3,
20,54,1020006,00:17:00.6,
20,54,1025003,00:17:05.3,
20,54,1030003,00:17:10.3,
20,54,1035003,00:17:15.3,
20,54,1040003,00:17:20.3,
20,54,1045003,00:17:25.3,
20,54,1050003,00:17:30.3,
20,54,1055003,00:17:35.3,
20,54,1060003,00:17:40.3,
20,54,1065004,00:17:45.4,
20,54,1070003,00:17:50.3,
20,54,1075003,00:17:55.3,
20,54,1080003,00:18:00.3,
20,54,1085003,00:18:05.3,
20,54,1090003,00:18:10.3,
20,54,1095003,00:18:15.3,
20,54,1100003,00:18:20.3,
20,54,1105003,00:18:25.3,
20,54,1110003,00:18:30.3,
20,54,1115003,00:18:35.3,
20,54,1120003,00:18:40.3,
20,54,1125003,00:18:45.3,
20,54,1130003,00:18:50.3,
20,54,1135003,00:18:55.3,
20,54,1140003,00:19:00.3,
20,54,1145004,00:19:05.4,
20,54,1150003,00:19:10.3,
20,54,1155003,00:19:15.3,
20,54,1160003,00:19:20.3,
20,54,1165003,00:19:25.3,
20,54,1170003,00:19:30.3,
20,54,1175003,00:19:35.3,
20,54,1180003,00:19:40.3,
20,54,1185003,00:19:45.3,
20,54,1190003,00:19:50.3,
20,54,1195003,00:19:55.3,
20,54,1200003,00:20:00.3,
20,54,1205003,00:20:05.3,
20,54,1210003,00:20:10.3,
20,54,1215003,00:20:15.3,
20,54,1220003,00:20:20.3,
20,54,1225004,00:20:25.4,
20,54,1230003,00:20:30.3,
20,54,1235003,00:20:35.3,
20,54,1240003,00:20:40.3,
20,54,1245003,00:20:45.3,
20,54,1250003,00:20:50.3,
20,54,1255003,00:20:55.3,
20,54,1260003,00:21:00.3,
20,54,1265003,00:21:05.3,
20,53,1270003,00:21:10.3,
20,54,1275003,00:21:15.3,
20,53,1280003,00:21:20.3,
20,54,1285003,00:21:25.3,
20,54,1290003,00:21:30.3,
20,54,1295003,00:21:35.3,
20,54,1300003,00:21:40.3,
20,54,1305008,00:21:45.8,
20,54,1310003,00:21:50.3,
20,54,1315003,00:21:55.3,
20,54,1320003,00:22:00.3,
20,54,1325003,00:22:05.3,
20,54,1330003,00:22:10.3,
20,54,1335003,00:22:15.3,
20,54,1340003,00:22:20.3,
20,54,1345003,00:22:25.3,
20,54,1350003,00:22:30.3,
20,54,1355003,00:22:35.3,
20,54,1360003,00:22:40.3,
20,54,1365003,00:22:45.3,
20,54,1370003,00:22:50.3,
20,54,1375003,00:22:55.3,
20,54,1380003,00:23:00.3,
20,54,1385004,00:23:05.4,
20,54,1390003,00:23:10.3,
20,54,1395003,00:23:15.3,
20,54,1400003,00:23:20.3,
20,54,1405003,00:23:25.3,
20,54,1410003,00:23:30.3,
20,54,1415003,00:23:35.3,
20,54,1420003,00:23:40.3,
20,54,1425003,00:23:45.3,
20,54,1430003,00:23:50.3,
20,54,1435003,00:23:55.3,
20,54,1440003,00:24:00.3,
20,54,1445003,00:24:05.3,
20,54,1450005,00:24:10.5,
20,54,1455003,00:24:15.3,
20,54,1460003,00:24:20.3,
